EXPERIMENT_ID,API_TYPE,QUERY_TYPE,REPOSITORY,EXECUTION_TIME_MS,RESPONSE_SIZE_BYTES,TIMESTAMP
1,REST,Basic,freeCodeCamp/freeCodeCamp,331.4581669999999,6983,2024-11-14T17:44:03.550Z
1,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,267.98233400000004,176,2024-11-14T17:44:03.820Z
2,REST,Basic,freeCodeCamp/freeCodeCamp,364.435708,6983,2024-11-14T17:44:05.186Z
2,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,259.353208,176,2024-11-14T17:44:05.445Z
3,REST,Basic,freeCodeCamp/freeCodeCamp,378.7404999999999,6983,2024-11-14T17:44:06.826Z
3,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,507.1882080000005,176,2024-11-14T17:44:07.333Z
4,REST,Basic,freeCodeCamp/freeCodeCamp,392.9802499999996,6983,2024-11-14T17:44:08.727Z
4,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,331.2914580000006,176,2024-11-14T17:44:09.059Z
5,REST,Basic,freeCodeCamp/freeCodeCamp,346.63495800000055,6983,2024-11-14T17:44:10.408Z
5,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,303.38395800000035,176,2024-11-14T17:44:10.711Z
6,REST,Basic,freeCodeCamp/freeCodeCamp,431.7357499999998,6983,2024-11-14T17:44:12.145Z
6,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,306.08150000000023,176,2024-11-14T17:44:12.451Z
7,REST,Basic,freeCodeCamp/freeCodeCamp,332.30125000000044,6983,2024-11-14T17:44:13.785Z
7,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,305.7809159999997,176,2024-11-14T17:44:14.091Z
8,REST,Basic,freeCodeCamp/freeCodeCamp,431.8528750000005,6983,2024-11-14T17:44:15.525Z
8,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,286.99554200000057,176,2024-11-14T17:44:15.812Z
9,REST,Basic,freeCodeCamp/freeCodeCamp,347.7561249999999,6983,2024-11-14T17:44:17.161Z
