REPOSITORY,QUERY_TYPE,REST_TIME_MEAN_MS,REST_TIME_MEDIAN_MS,REST_TIME_STDDEV_MS,REST_TIME_TOTAL_MS,GRAPHQL_TIME_MEAN_MS,GRAPHQL_TIME_MEDIAN_MS,GRAPHQL_TIME_STDDEV_MS,GRAPHQL_TIME_TOTAL_MS,TIME_DIFF_PERCENT,REST_SIZE_MEAN_BYTES,REST_SIZE_MEDIAN_BYTES,REST_SIZE_STDDEV_BYTES,REST_SIZE_TOTAL_BYTES,GRAPHQL_SIZE_MEAN_BYTES,GRAPHQL_SIZE_MEDIAN_BYTES,GRAPHQL_SIZE_STDDEV_BYTES,GRAPHQL_SIZE_TOTAL_BYTES,SIZE_DIFF_PERCENT
freeCodeCamp/freeCodeCamp,Basic,351.00,337.11,38.75,10529.90,310.66,305.40,55.78,9319.87,11.49,6983.00,6983.00,0.00,209490.00,176.00,176.00,0.00,5280.00,97.48
freeCodeCamp/freeCodeCamp,Medium,458.00,453.80,55.29,13740.10,454.49,449.26,55.28,13634.77,0.77,150545.00,150545.00,0.00,4516350.00,11659.00,11659.00,0.00,349770.00,92.26
freeCodeCamp/freeCodeCamp,Complex,671.85,637.18,150.14,20155.43,577.61,565.74,83.49,17328.42,14.03,743258.00,743218.00,215.41,22297740.00,20522.00,20522.00,0.00,615660.00,97.24
EbookFoundation/free-programming-books,Basic,361.51,336.22,46.18,10845.20,333.42,307.52,50.64,10002.69,7.77,7460.00,7460.00,0.00,223800.00,149.00,149.00,0.00,4470.00,98.00
EbookFoundation/free-programming-books,Medium,441.20,434.21,52.71,13236.00,388.84,399.86,45.14,11665.25,11.87,130873.00,130873.00,0.00,3926190.00,4087.00,4087.00,0.00,122610.00,96.88
EbookFoundation/free-programming-books,Complex,769.59,744.80,131.22,23087.64,475.24,476.16,61.92,14257.10,38.25,735034.00,735034.00,0.00,22051020.00,10429.00,10429.00,0.00,312870.00,98.58
sindresorhus/awesome,Basic,352.67,329.16,173.04,10580.20,322.38,306.17,68.80,9671.43,8.59,5475.00,5475.00,0.00,164250.00,146.00,146.00,0.00,4380.00,97.33
sindresorhus/awesome,Medium,414.33,407.15,89.02,12429.91,334.65,322.49,47.46,10039.52,19.23,341385.00,341385.00,0.00,10241550.00,1460.00,1460.00,0.00,43800.00,99.57
sindresorhus/awesome,Complex,725.39,704.47,106.01,21761.79,383.67,377.29,40.30,11510.13,47.11,1110250.00,1110250.00,0.00,33307500.00,3953.00,3953.00,0.00,118590.00,99.64
public-apis/public-apis,Basic,333.65,330.47,27.65,10009.59,309.51,306.07,41.47,9285.45,7.23,6761.00,6761.00,0.00,202830.00,126.00,126.00,0.00,3780.00,98.14
public-apis/public-apis,Medium,385.54,375.96,43.40,11566.08,385.63,376.72,57.24,11568.78,-0.02,101266.00,101266.00,0.00,3037980.00,2888.00,2888.00,0.00,86640.00,97.15
public-apis/public-apis,Complex,796.50,751.62,142.31,23895.02,542.71,518.72,124.97,16281.21,31.86,641414.00,641414.00,0.00,19242420.00,12042.00,12042.00,0.00,361260.00,98.12
codecrafters-io/build-your-own-x,Basic,337.88,329.43,38.26,10136.54,317.81,304.82,40.61,9534.34,5.94,7063.00,7063.00,0.00,211890.00,174.00,174.00,0.00,5220.00,97.54
codecrafters-io/build-your-own-x,Medium,412.89,403.46,56.84,12386.60,487.50,476.64,70.46,14625.02,-18.07,91129.00,91129.00,0.00,2733870.00,10655.00,10655.00,0.00,319650.00,88.31
codecrafters-io/build-your-own-x,Complex,774.59,744.53,144.55,23237.80,572.83,578.40,84.29,17185.02,26.05,625930.00,625930.00,0.00,18777900.00,20764.00,20764.00,0.00,622920.00,96.68
TOTAL,ALL,505.77,426.13,202.15,227597.82,413.13,399.84,114.96,185908.98,18.32,313655.07,130873.00,349093.57,141144780.00,6615.33,3953.00,7033.32,2976900.00,97.89
